poi_id_center,center_poi,context_poi
49bbd6c0f964a520f4531fe3,Arts & Crafts Store,Bridge
49bbd6c0f964a520f4531fe3,Arts & Crafts Store,Home (private)
49bbd6c0f964a520f4531fe3,Arts & Crafts Store,Home (private)
49bbd6c0f964a520f4531fe3,Arts & Crafts Store,Mobile Phone Shop
49bbd6c0f964a520f4531fe3,Arts & Crafts Store,Automotive Shop
49bbd6c0f964a520f4531fe3,Arts & Crafts Store,Food & Drink Shop
49bbd6c0f964a520f4531fe3,Arts & Crafts Store,Government Building
49bbd6c0f964a520f4531fe3,Arts & Crafts Store,Ferry
49bbd6c0f964a520f4531fe3,Arts & Crafts Store,Office
4a43c0aef964a520c6a61fe3,Bridge,Home (private)
4a43c0aef964a520c6a61fe3,Bridge,Home (private)
4a43c0aef964a520c6a61fe3,Bridge,Mobile Phone Shop
4a43c0aef964a520c6a61fe3,Bridge,Automotive Shop
4a43c0aef964a520c6a61fe3,Bridge,Food & Drink Shop
4a43c0aef964a520c6a61fe3,Bridge,Government Building
4a43c0aef964a520c6a61fe3,Bridge,Ferry
4a43c0aef964a520c6a61fe3,Bridge,Office
4a43c0aef964a520c6a61fe3,Bridge,Food & Drink Shop
4a43c0aef964a520c6a61fe3,Bridge,Market
4c5cc7b485a1e21e00d35711,Home (private),Mobile Phone Shop
4c5cc7b485a1e21e00d35711,Home (private),Automotive Shop
4c5cc7b485a1e21e00d35711,Home (private),Food & Drink Shop
4c5cc7b485a1e21e00d35711,Home (private),Government Building
4c5cc7b485a1e21e00d35711,Home (private),Ferry
4c5cc7b485a1e21e00d35711,Home (private),Office
4c5cc7b485a1e21e00d35711,Home (private),Food & Drink Shop
4c5cc7b485a1e21e00d35711,Home (private),Market
4c5cc7b485a1e21e00d35711,Home (private),Office
4ce1863bc4f6a35d8bd2db6c,Home (private),Mobile Phone Shop
4ce1863bc4f6a35d8bd2db6c,Home (private),Automotive Shop
4ce1863bc4f6a35d8bd2db6c,Home (private),Food & Drink Shop
4ce1863bc4f6a35d8bd2db6c,Home (private),Government Building
4ce1863bc4f6a35d8bd2db6c,Home (private),Ferry
4ce1863bc4f6a35d8bd2db6c,Home (private),Office
4ce1863bc4f6a35d8bd2db6c,Home (private),Food & Drink Shop
4ce1863bc4f6a35d8bd2db6c,Home (private),Market
4ce1863bc4f6a35d8bd2db6c,Home (private),Office
4ce1863bc4f6a35d8bd2db6c,Home (private),Music Venue
4c0ab56f7e3fc9288c1df482,Mobile Phone Shop,Automotive Shop
4c0ab56f7e3fc9288c1df482,Mobile Phone Shop,Food & Drink Shop
4c0ab56f7e3fc9288c1df482,Mobile Phone Shop,Government Building
4c0ab56f7e3fc9288c1df482,Mobile Phone Shop,Ferry
4c0ab56f7e3fc9288c1df482,Mobile Phone Shop,Office
4c0ab56f7e3fc9288c1df482,Mobile Phone Shop,Food & Drink Shop
4c0ab56f7e3fc9288c1df482,Mobile Phone Shop,Market
4c0ab56f7e3fc9288c1df482,Mobile Phone Shop,Office
4c0ab56f7e3fc9288c1df482,Mobile Phone Shop,Music Venue
4c0ab56f7e3fc9288c1df482,Mobile Phone Shop,Subway
4c00297392a6c9280cc243e2,Automotive Shop,Food & Drink Shop
4c00297392a6c9280cc243e2,Automotive Shop,Government Building
4c00297392a6c9280cc243e2,Automotive Shop,Ferry
4c00297392a6c9280cc243e2,Automotive Shop,Office
4c00297392a6c9280cc243e2,Automotive Shop,Food & Drink Shop
4c00297392a6c9280cc243e2,Automotive Shop,Market
4c00297392a6c9280cc243e2,Automotive Shop,Office
