poi_id_center,center_poi,context_osm
9174,Corporate Office,roads_highway_primary
9174,Corporate Office,roads_highway_primary
9174,Corporate Office,roads_highway_primary_link
9174,Corporate Office,roads_oneway_yes
9174,Corporate Office,roads_oneway_yes
9174,Corporate Office,roads_surface_asphalt
9174,Corporate Office,roads_surface_asphalt
9069,Corporate Office,roads_bicycle_yes
9069,Corporate Office,roads_foot_no
9069,Corporate Office,roads_highway_secondary_link
9069,Corporate Office,roads_highway_secondary
9069,Corporate Office,roads_oneway_yes
9069,Corporate Office,roads_oneway_yes
9069,Corporate Office,roads_railway_rail
9069,Corporate Office,roads_surface_asphalt
9069,Corporate Office,roads_surface_asphalt
9069,Corporate Office,roads_surface_concrete
9069,Corporate Office,roads_tunnel_yes
9730,Brewery / Microbrewery,roads_highway_primary
9730,Brewery / Microbrewery,roads_highway_primary
9730,Brewery / Microbrewery,roads_oneway_yes
9730,Brewery / Microbrewery,roads_oneway_yes
9730,Brewery / Microbrewery,roads_surface_asphalt
9730,Brewery / Microbrewery,roads_surface_asphalt
9619,Bakery,roads_highway_primary
9619,Bakery,roads_highway_primary
9619,Bakery,roads_highway_primary_link
9619,Bakery,roads_oneway_yes
9619,Bakery,roads_oneway_yes
9619,Bakery,roads_surface_asphalt
9619,Bakery,roads_surface_asphalt
9141,Other - Architecture,roads_covered_yes
9141,Other - Architecture,roads_cutting_yes
9141,Other - Architecture,roads_foot_no
9141,Other - Architecture,roads_highway_primary
9141,Other - Architecture,roads_highway_primary_link
9141,Other - Architecture,roads_highway_secondary
9141,Other - Architecture,roads_oneway_yes
9141,Other - Architecture,roads_oneway_yes
9141,Other - Architecture,roads_surface_asphalt
9141,Other - Architecture,roads_surface_asphalt
10076,Ice Cream,roads_highway_primary
10076,Ice Cream,roads_highway_primary
10076,Ice Cream,roads_highway_secondary
10076,Ice Cream,roads_oneway_no
10076,Ice Cream,roads_oneway_yes
10076,Ice Cream,roads_oneway_yes
10076,Ice Cream,roads_railway_subway
10076,Ice Cream,roads_surface_asphalt
10076,Ice Cream,roads_surface_asphalt
10076,Ice Cream,roads_tunnel_yes
10336,Dive Bar,roads_bicycle_no
10336,Dive Bar,roads_bridge_yes
10336,Dive Bar,roads_highway_motorway_link
10336,Dive Bar,roads_highway_primary
10336,Dive Bar,roads_highway_motorway
10336,Dive Bar,roads_highway_secondary
10336,Dive Bar,roads_oneway_yes
10336,Dive Bar,roads_oneway_yes
10336,Dive Bar,roads_railway_rail
10456,Mexican,roads_bridge_yes
10456,Mexican,roads_foot_no
10456,Mexican,roads_highway_motorway_link
10456,Mexican,roads_highway_primary_link
10456,Mexican,roads_highway_secondary
10456,Mexican,roads_highway_secondary
10456,Mexican,roads_oneway_yes
10456,Mexican,roads_oneway_yes
10456,Mexican,roads_public_transport_platform
10456,Mexican,roads_railway_subway
10456,Mexican,roads_railway_platform
10456,Mexican,roads_surface_asphalt
10456,Mexican,roads_surface_concrete
10456,Mexican,roads_tunnel_yes
10457,Subway,roads_bicycle_no
10457,Subway,roads_bicycle_yes
10457,Subway,roads_bridge_yes
10457,Subway,roads_foot_no
10457,Subway,roads_foot_yes
10457,Subway,roads_highway_primary_link
10457,Subway,roads_highway_motorway_link
10457,Subway,roads_highway_primary
10457,Subway,roads_highway_secondary_link
10457,Subway,roads_highway_motorway
10457,Subway,roads_highway_secondary
10457,Subway,roads_horse_no
